mileage,make,model,fuel,gear,offerType,price,hp,year
13100,Mercedes-Benz,AMG GT,Gasoline,Automatic,Employee's car,124750,585,2019
92800,Volkswagen,Golf,Gasoline,Manual,Used,6877,122,2011
235000,BMW,316,Diesel,Manual,Used,6800,116,2011
10,BMW,X2,Gasoline,Automatic,Pre-registered,41450,178,2021
